model_ref,input_per_1k,output_per_1k,blended_price_per_token,source
anthropic:claude-opus-4-5-20251101,0.00500000,0.02500000,0.0000150000,official_usd_pricing:anthropic.com_2026-03-02
anthropic:claude-sonnet-4-5-20250929,0.00300000,0.01500000,0.0000090000,official_usd_pricing:anthropic.com_2026-03-02
google:models/gemini-3-pro-preview,0.00200000,0.01200000,0.0000070000,official_usd_pricing:ai.google.dev_2026-03-02
openai:gpt-5-mini-2025-08-07,0.00025000,0.00200000,0.0000011250,official_usd_pricing:openai.com_2026-03-02
openai:gpt-5.2-2025-12-11,0.00175000,0.01400000,0.0000078750,official_usd_pricing:openai.com_2026-03-02
openai:gpt-5.2-pro-2025-12-11,0.02100000,0.16800000,0.0000945000,official_usd_pricing:openai.com_2026-03-02
